pair,direction,entry,sl,tp,stop_pips,lot_size,risk_pct,risk_usd,issued_at
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-11T21:45:51.355457+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-11T22:13:47.291092+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-11T22:28:38.532991+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-11T23:25:49.966286+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T02:06:56.834842+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T03:49:29.399498+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T04:34:21.039205+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T05:30:26.121513+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T06:42:20.453776+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T07:28:22.003270+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T08:38:13.329113+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T09:31:47.592170+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T10:33:39.822993+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T11:25:14.215733+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T13:00:10.539290+00:00
EURUSD,short,1.15837,1.15937,1.15737,10,0.01,,,2025-11-12T13:40:05.713030+00:00
